policy,leak_text_avg,leak_asr_avg,leak_image_avg,leak_waveform_avg,leak_audio_avg,leak_total,utility_proxy,mean_latency_ms,p50_latency_ms,p90_latency_ms
raw,0.5128,0.5128,0.7436,0.5128,0.7436,3.0256,1.0,0.072,0.073,0.085
weak,0.5128,0.0,0.7436,0.0,0.7436,2.0,0.512195,0.076,0.081,0.092
pseudo,0.5128,0.0,0.0,0.0,0.0,0.5128,1.0,0.085,0.087,0.103
redact,0.5128,0.0,0.0,0.0,0.0,0.5128,0.505051,0.082,0.088,0.098
adaptive,0.359,0.0,0.1026,0.0,0.1026,0.5641,1.0,1.755,0.931,1.134
